drain TotalCurrent(IdVg_VdLin_n88_des) X,drain TotalCurrent(IdVg_VdLin_n88_des) Y,drain TotalCurrent(IdVg_VdLin_n105_des) X,drain TotalCurrent(IdVg_VdLin_n105_des) Y,drain TotalCurrent(IdVg_VdLin_n106_des) X,drain TotalCurrent(IdVg_VdLin_n106_des) Y,drain TotalCurrent(IdVg_VdLin_n107_des) X,drain TotalCurrent(IdVg_VdLin_n107_des) Y,drain TotalCurrent(IdVg_VdLin_n108_des) X,drain TotalCurrent(IdVg_VdLin_n108_des) Y,drain TotalCurrent(IdVg_VdLin_n109_des) X,drain TotalCurrent(IdVg_VdLin_n109_des) Y,drain TotalCurrent(IdVg_VdLin_n110_des) X,drain TotalCurrent(IdVg_VdLin_n110_des) Y,drain TotalCurrent(IdVg_VdLin_n111_des) X,drain TotalCurrent(IdVg_VdLin_n111_des) Y,drain TotalCurrent(IdVg_VdLin_n112_des) X,drain TotalCurrent(IdVg_VdLin_n112_des) Y,drain TotalCurrent(IdVg_VdLin_n113_des) X,drain TotalCurrent(IdVg_VdLin_n113_des) Y,drain TotalCurrent(IdVg_VdLin_n114_des) X,drain TotalCurrent(IdVg_VdLin_n114_des) Y,drain TotalCurrent(IdVg_VdLin_n115_des) X,drain TotalCurrent(IdVg_VdLin_n115_des) Y,drain TotalCurrent(IdVg_VdLin_n116_des) X,drain TotalCurrent(IdVg_VdLin_n116_des) Y,drain TotalCurrent(IdVg_VdLin_n117_des) X,drain TotalCurrent(IdVg_VdLin_n117_des) Y,drain TotalCurrent(IdVg_VdLin_n118_des) X,drain TotalCurrent(IdVg_VdLin_n118_des) Y,drain TotalCurrent(IdVg_VdLin_n119_des) X,drain TotalCurrent(IdVg_VdLin_n119_des) Y
-1,6.7736337e-14,-1.05,5.0761943e-14,-1.1,3.8624517e-14,-1.15,2.9444984e-14,-1.2,2.2327947e-14,-1.25,1.892277e-14,-1.3,1.6028393e-14,-1.35,1.4934438e-14,-1.4,1.1450854e-14,-1.45,1.1290956e-14,-1.5,1.2040391e-14,-1.55,9.4219943e-15,-1.6,1.0152716e-14,-1.65,9.2704134e-15,-1.7,9.2311399e-15,-1.75,8.3800918e-15
-0.96,7.8855194e-14,-1.0095,5.7697585e-14,-1.059,4.2690964e-14,-1.1085,3.3170835e-14,-1.158,2.4256146e-14,-1.2075,2.0277274e-14,-1.257,1.8225988e-14,-1.3065,1.5372585e-14,-1.356,1.3154833e-14,-1.4055,1.2131046e-14,-1.455,1.121019e-14,-1.5045,1.1067268e-14,-1.554,9.4284713e-15,-1.6035,1.0986727e-14,-1.653,1.0056741e-14,-1.7025,9.1780407e-15
-0.92,9.170272e-14,-0.969,6.8689103e-14,-1.018,4.9815439e-14,-1.067,3.6177066e-14,-1.116,2.7599423e-14,-1.165,2.2933022e-14,-1.214,1.6237538e-14,-1.263,1.5070673e-14,-1.312,1.401756e-14,-1.361,1.3415531e-14,-1.41,1.205028e-14,-1.459,1.033119e-14,-1.508,1.1077039e-14,-1.557,9.3197703e-15,-1.606,9.2555038e-15,-1.655,7.5841301e-15
-0.88,1.0205032e-13,-0.9285,8.0339191e-14,-0.977,5.7640691e-14,-1.0255,4.0835027e-14,-1.074,2.9726545e-14,-1.1225,2.3307298e-14,-1.171,1.933332e-14,-1.2195,1.7263321e-14,-1.268,1.3267052e-14,-1.3165,1.3094513e-14,-1.365,1.2123088e-14,-1.4135,1.2017657e-14,-1.462,1.1944524e-14,-1.5105,9.340229e-15,-1.559,8.4743281e-15,-1.6075,9.226171e-15
-0.84,1.1363717e-13,-0.888,9.2450561e-14,-0.936,6.7860117e-14,-0.984,4.7631122e-14,-1.032,3.5210817e-14,-1.08,2.3548562e-14,-1.128,2.1236581e-14,-1.176,1.7393047e-14,-1.224,1.4185805e-14,-1.272,1.3133645e-14,-1.32,1.2994763e-14,-1.368,1.1208848e-14,-1.416,1.1130746e-14,-1.464,1.1049953e-14,-1.512,1.0176584e-14,-1.56,8.4219553e-15
-0.8,1.2669395e-13,-0.8475,1.0629337e-13,-0.895,8.2548362e-14,-0.9425,5.7607406e-14,-0.99,4.083928e-14,-1.0375,3.0349159e-14,-1.085,2.2332891e-14,-1.1325,1.9269738e-14,-1.18,1.5123004e-14,-1.2275,1.5274745e-14,-1.275,1.2231073e-14,-1.3225,1.2067423e-14,-1.37,1.1148541e-14,-1.4175,1.1037947e-14,-1.465,9.3187837e-15,-1.5125,9.2620807e-15
-0.76,1.4918563e-13,-0.807,1.1778639e-13,-0.854,9.5658529e-14,-0.901,6.9650178e-14,-0.948,4.7983515e-14,-0.995,3.4132618e-14,-1.042,2.6420516e-14,-1.089,2.0331296e-14,-1.136,1.613519e-14,-1.183,1.4992004e-14,-1.23,1.4327082e-14,-1.277,1.1304673e-14,-1.324,1.1196273e-14,-1.371,1.0233085e-14,-1.418,1.1065509e-14,-1.465,9.2798825e-15
-0.72,1.8274917e-13,-0.7665,1.2974264e-13,-0.813,1.0772439e-13,-0.8595,8.3632548e-14,-0.906,5.6790145e-14,-0.9525,4.0670528e-14,-0.999,2.9039873e-14,-1.0455,2.2315724e-14,-1.092,1.6305052e-14,-1.1385,1.5508131e-14,-1.185,1.4037683e-14,-1.2315,1.3880558e-14,-1.278,1.3276826e-14,-1.3245,1.1144211e-14,-1.371,9.7810487e-15,-1.4175,1.0125297e-14
-0.68,2.2574988e-13,-0.726,1.5731575e-13,-0.772,1.1940272e-13,-0.818,9.6845844e-14,-0.864,6.9891254e-14,-0.91,4.7726481e-14,-0.956,3.5025262e-14,-1.002,2.5252906e-14,-1.048,2.119343e-14,-1.094,1.8194614e-14,-1.14,1.498248e-14,-1.186,1.3108401e-14,-1.232,1.2965466e-14,-1.278,1.0388153e-14,-1.324,1.0231769e-14,-1.37,1.0995742e-14
-0.64,2.7324058e-13,-0.6855,1.9490737e-13,-0.731,1.3940644e-13,-0.7765,1.1070978e-13,-0.822,8.4963703e-14,-0.8675,5.9712543e-14,-0.913,4.1921036e-14,-0.9585,3.0001002e-14,-1.004,2.2351979e-14,-1.0495,1.9271957e-14,-1.095,1.5128883e-14,-1.1405,1.4463226e-14,-1.186,1.3880558e-14,-1.2315,1.1263468e-14,-1.277,1.1139319e-14,-1.3225,1.0260564e-14
-0.6,3.3968962e-13,-0.645,2.3981949e-13,-0.69,1.6718338e-13,-0.735,1.2425578e-13,-0.78,1.0241489e-13,-0.825,7.6374966e-14,-0.87,5.096883e-14,-0.915,3.6215982e-14,-0.96,2.5376588e-14,-1.005,2.1267398e-14,-1.05,1.6174696e-14,-1.095,1.502585e-14,-1.14,1.2310777e-14,-1.185,1.2979278e-14,-1.23,9.5632498e-15,-1.275,1.0294629e-14
-0.56,4.1609651e-13,-0.6045,2.9478587e-13,-0.649,2.0907522e-13,-0.6935,1.4535818e-13,-0.738,1.1475051e-13,-0.7825,9.1475685e-14,-0.827,6.5795801e-14,-0.8715,4.4620621e-14,-0.916,3.1859771e-14,-0.9605,2.337632e-14,-1.005,2.0208773e-14,-1.0495,1.7269556e-14,-1.094,1.3260441e-14,-1.1385,1.3095765e-14,-1.183,1.1265783e-14,-1.2275,1.0296589e-14
-0.52,4.7210672e-13,-0.564,3.6854981e-13,-0.608,2.5696621e-13,-0.652,1.812071e-13,-0.696,1.3054684e-13,-0.74,1.0787301e-13,-0.784,8.0944789e-14,-0.828,5.5785572e-14,-0.872,3.894479e-14,-0.916,2.9462359e-14,-0.96,2.2264732e-14,-1.004,1.8838096e-14,-1.048,1.6297479e-14,-1.092,1.4015015e-14,-1.136,1.3043387e-14,-1.18,1.1242749e-14
-0.48,4.8143106e-13,-0.5235,4.4211979e-13,-0.567,3.1910018e-13,-0.6105,2.253659e-13,-0.654,1.5618515e-13,-0.6975,1.2144987e-13,-0.741,9.8819613e-14,-0.7845,7.1792751e-14,-0.828,4.995929e-14,-0.8715,3.5886292e-14,-0.915,2.444759e-14,-0.9585,2.035523e-14,-1.002,1.6154224e-14,-1.0455,1.6219838e-14,-1.089,1.3959884e-14,-1.1325,1.2970648e-14
-0.44,3.6445873e-13,-0.483,4.8428749e-13,-0.526,3.9919519e-13,-0.569,2.7628872e-13,-0.612,1.98958e-13,-0.655,1.4318757e-13,-0.698,1.1650566e-13,-0.741,9.0574644e-14,-0.784,6.5785894e-14,-0.827,4.4651168e-14,-0.87,3.1984128e-14,-0.913,2.422419e-14,-0.956,1.9354469e-14,-0.999,1.6069649e-14,-1.042,1.4955376e-14,-1.085,1.2258007e-14
-0.4,1.8594369e-13,-0.4425,4.4404603e-13,-0.485,4.641655e-13,-0.5275,3.4973305e-13,-0.57,2.4745277e-13,-0.6125,1.7408288e-13,-0.655,1.3318574e-13,-0.6975,1.0893447e-13,-0.74,8.4530396e-14,-0.7825,5.9533921e-14,-0.825,4.1644712e-14,-0.8675,2.9613311e-14,-0.91,2.3239098e-14,-0.9525,2.0995244e-14,-0.995,1.512691e-14,-1.0375,1.4054037e-14
-0.36,7.0751544e-14,-0.402,2.7445756e-13,-0.444,4.8484468e-13,-0.486,4.3274583e-13,-0.528,3.0599024e-13,-0.57,2.2331249e-13,-0.612,1.5966355e-13,-0.654,1.2567628e-13,-0.696,1.0351196e-13,-0.738,7.6602091e-14,-0.78,5.3804181e-14,-0.822,3.7895642e-14,-0.864,2.8870341e-14,-0.906,2.1345263e-14,-0.948,1.7091436e-14,-0.99,1.5064684e-14
-0.32,2.5994482e-14,-0.3615,1.1846921e-13,-0.403,3.823785e-13,-0.4445,4.8582835e-13,-0.486,3.8992368e-13,-0.5275,2.7604761e-13,-0.569,2.0088899e-13,-0.6105,1.4760956e-13,-0.652,1.2127402e-13,-0.6935,9.7699437e-14,-0.735,7.1611157e-14,-0.7765,5.0758243e-14,-0.818,3.6803339e-14,-0.8595,2.5366633e-14,-0.901,1.9514985e-14,-0.9425,1.8250838e-14
-0.28,2.8044789e-14,-0.321,4.0921665e-14,-0.362,1.9689169e-13,-0.403,4.6391869e-13,-0.444,4.669452e-13,-0.485,3.4877795e-13,-0.526,2.5324019e-13,-0.567,1.8234871e-13,-0.608,1.3962e-13,-0.649,1.1747768e-13,-0.69,9.3655631e-14,-0.731,6.7682308e-14,-0.772,4.6653621e-14,-0.813,3.5755422e-14,-0.854,2.5264279e-14,-0.895,2.0343939e-14
-0.24,9.8616895e-14,-0.2805,2.0440453e-14,-0.321,7.2675576e-14,-0.3615,3.0003999e-13,-0.402,4.9955997e-13,-0.4425,4.389921e-13,-0.483,3.1648915e-13,-0.5235,2.3362001e-13,-0.564,1.70085e-13,-0.6045,1.3356028e-13,-0.645,1.1363927e-13,-0.6855,8.8576297e-14,-0.726,6.5646001e-14,-0.7665,4.3875814e-14,-0.807,3.4822499e-14,-0.8475,2.3401379e-14
