drain TotalCurrent(IdVg_VdLin_n88_des) X,drain TotalCurrent(IdVg_VdLin_n88_des) Y,drain TotalCurrent(IdVg_VdLin_n105_des) X,drain TotalCurrent(IdVg_VdLin_n105_des) Y,drain TotalCurrent(IdVg_VdLin_n106_des) X,drain TotalCurrent(IdVg_VdLin_n106_des) Y,drain TotalCurrent(IdVg_VdLin_n107_des) X,drain TotalCurrent(IdVg_VdLin_n107_des) Y,drain TotalCurrent(IdVg_VdLin_n108_des) X,drain TotalCurrent(IdVg_VdLin_n108_des) Y,drain TotalCurrent(IdVg_VdLin_n109_des) X,drain TotalCurrent(IdVg_VdLin_n109_des) Y,drain TotalCurrent(IdVg_VdLin_n110_des) X,drain TotalCurrent(IdVg_VdLin_n110_des) Y,drain TotalCurrent(IdVg_VdLin_n111_des) X,drain TotalCurrent(IdVg_VdLin_n111_des) Y,drain TotalCurrent(IdVg_VdLin_n112_des) X,drain TotalCurrent(IdVg_VdLin_n112_des) Y,drain TotalCurrent(IdVg_VdLin_n113_des) X,drain TotalCurrent(IdVg_VdLin_n113_des) Y,drain TotalCurrent(IdVg_VdLin_n114_des) X,drain TotalCurrent(IdVg_VdLin_n114_des) Y,drain TotalCurrent(IdVg_VdLin_n115_des) X,drain TotalCurrent(IdVg_VdLin_n115_des) Y,drain TotalCurrent(IdVg_VdLin_n116_des) X,drain TotalCurrent(IdVg_VdLin_n116_des) Y,drain TotalCurrent(IdVg_VdLin_n117_des) X,drain TotalCurrent(IdVg_VdLin_n117_des) Y,drain TotalCurrent(IdVg_VdLin_n118_des) X,drain TotalCurrent(IdVg_VdLin_n118_des) Y,drain TotalCurrent(IdVg_VdLin_n119_des) X,drain TotalCurrent(IdVg_VdLin_n119_des) Y
-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15,-3,6.3745331e-15
-2.96,7.2701618e-15,-2.9595,7.2701618e-15,-2.959,7.2701618e-15,-2.9585,7.2701618e-15,-2.958,7.2701618e-15,-2.9575,7.2701618e-15,-2.957,7.2701618e-15,-2.9565,7.2701618e-15,-2.956,7.2701618e-15,-2.9555,7.2701618e-15,-2.955,7.2701618e-15,-2.9545,7.2701618e-15,-2.954,7.2701618e-15,-2.9535,7.2701618e-15,-2.953,7.2701618e-15,-2.9525,7.2701618e-15
-2.92,4.7824629e-15,-2.919,4.7824629e-15,-2.918,4.7824629e-15,-2.917,2.6707989e-15,-2.916,7.256733e-15,-2.915,4.7841759e-15,-2.914,4.7762551e-15,-2.913,3.8934391e-15,-2.912,4.7762551e-15,-2.911,3.9088956e-15,-2.91,4.7762551e-15,-2.909,3.9088956e-15,-2.908,3.8934391e-15,-2.907,7.1797433e-15,-2.906,7.1797433e-15,-2.905,4.7607986e-15
-2.88,2.7152071e-15,-2.8785,2.7158512e-15,-2.877,6.3948589e-15,-2.8755,5.1969664e-15,-2.874,5.9670515e-15,-2.8725,6.3962293e-15,-2.871,2.7172215e-15,-2.8695,4.3618539e-15,-2.868,7.2112644e-15,-2.8665,6.3662107e-15,-2.865,2.7197976e-15,-2.8635,5.5757997e-15,-2.862,4.3645123e-15,-2.8605,5.5851382e-15,-2.859,4.7400845e-15,-2.8575,3.5194586e-15
-2.84,4.7759404e-15,-2.838,3.9085809e-15,-2.836,4.722328e-15,-2.834,2.7102608e-15,-2.832,6.4053691e-15,-2.83,5.5613431e-15,-2.828,6.4063969e-15,-2.826,4.7789002e-15,-2.824,7.2201439e-15,-2.822,6.3750902e-15,-2.82,4.7489228e-15,-2.818,6.4077261e-15,-2.816,4.7802295e-15,-2.814,3.9351788e-15,-2.812,3.5596036e-15,-2.81,4.7815175e-15
-2.8,4.7832305e-15,-2.7975,4.7538559e-15,-2.795,4.7851625e-15,-2.7925,3.9401088e-15,-2.79,3.9401088e-15,-2.7875,4.7548837e-15,-2.785,5.1943491e-15,-2.7825,4.7561717e-15,-2.78,4.7874783e-15,-2.7775,5.1953769e-15,-2.775,4.7578435e-15,-2.7725,4.7578435e-15,-2.77,5.571593e-15,-2.7675,4.3509672e-15,-2.765,6.4163042e-15,-2.7625,5.6051307e-15
-2.76,5.6051307e-15,-2.757,4.7614474e-15,-2.754,4.3858752e-15,-2.751,4.3865193e-15,-2.748,5.2002688e-15,-2.745,4.7627766e-15,-2.742,4.3584763e-15,-2.739,5.5708799e-15,-2.736,5.6028693e-15,-2.733,4.3904657e-15,-2.73,4.7366688e-15,-2.727,5.5887009e-15,-2.724,4.7999685e-15,-2.721,4.3930897e-15,-2.718,4.7766256e-15,-2.715,5.1682902e-15
-2.72,4.7446749e-15,-2.7165,6.4202227e-15,-2.713,5.1999462e-15,-2.7095,5.5755115e-15,-2.706,4.7482376e-15,-2.7025,5.5939765e-15,-2.699,5.6087957e-15,-2.6955,5.5959086e-15,-2.692,5.5659748e-15,-2.6885,5.1904094e-15,-2.685,5.1910534e-15,-2.6815,5.1913893e-15,-2.678,5.1913893e-15,-2.6745,6.4126591e-15,-2.671,5.5686332e-15,-2.6675,5.5999374e-15
-2.68,5.5982656e-15,-2.676,3.9394648e-15,-2.672,4.7548837e-15,-2.668,4.3793115e-15,-2.664,4.3815862e-15,-2.66,4.350282e-15,-2.656,4.3815862e-15,-2.652,4.7888143e-15,-2.648,4.7261998e-15,-2.644,6.4163042e-15,-2.64,4.7627766e-15,-2.636,4.7627796e-15,-2.632,5.6078303e-15,-2.628,5.2016392e-15,-2.624,4.7634648e-15,-2.62,5.2045646e-15
-2.64,4.3559033e-15,-2.6355,4.3559033e-15,-2.631,5.6085155e-15,-2.6265,4.3565885e-15,-2.622,4.3904657e-15,-2.6175,4.7663804e-15,-2.613,4.7361071e-15,-2.6085,5.614394e-15,-2.604,4.3631522e-15,-2.5995,4.3852444e-15,-2.595,5.2388698e-15,-2.5905,3.9559769e-15,-2.586,5.5860595e-15,-2.5815,6.4239089e-15,-2.577,5.2052151e-15,-2.5725,4.3611891e-15
-2.6,5.2075656e-15,-2.595,5.198994e-15,-2.59,5.2104775e-15,-2.585,4.740999e-15,-2.58,5.5788551e-15,-2.575,4.3601644e-15,-2.57,4.3611922e-15,-2.565,5.2154517e-15,-2.56,4.3934799e-15,-2.555,4.3661253e-15,-2.55,4.38197e-15,-2.545,4.726241e-15,-2.54,4.3516966e-15,-2.535,4.3872044e-15,-2.53,4.7627766e-15,-2.525,3.9507013e-15
-2.56,3.9169086e-15,-2.5545,4.7575451e-15,-2.549,3.9599053e-15,-2.5435,4.7746734e-15,-2.538,4.3211723e-15,-2.5325,5.2157664e-15,-2.527,4.3888762e-15,-2.5215,4.7792706e-15,-2.516,5.5486977e-15,-2.5105,3.9513895e-15,-2.505,4.3168221e-15,-2.4995,5.2079014e-15,-2.494,5.5381399e-15,-2.4885,4.3645226e-15,-2.483,5.2010151e-15,-2.4775,4.7769416e-15
-2.52,4.3575751e-15,-2.514,4.3582603e-15,-2.508,5.6105366e-15,-2.502,5.2068804e-15,-2.496,4.7928151e-15,-2.49,4.7928182e-15,-2.484,6.4529452e-15,-2.478,4.4013596e-15,-2.472,5.5983135e-15,-2.466,5.2148145e-15,-2.46,4.3700997e-15,-2.454,5.6259387e-15,-2.448,5.6572453e-15,-2.442,4.4056487e-15,-2.436,5.2230088e-15,-2.43,6.0470011e-15
-2.48,3.0682824e-15,-2.4735,5.1914403e-15,-2.467,8.0942411e-15,-2.4605,5.5706162e-15,-2.454,6.0400948e-15,-2.4475,4.7881703e-15,-2.441,4.7812306e-15,-2.4345,4.7608543e-15,-2.428,6.0470011e-15,-2.4215,4.7631222e-15,-2.415,8.0814152e-15,-2.4085,5.5956374e-15,-2.402,4.3770161e-15,-2.3955,5.5759051e-15,-2.389,8.0807844e-15,-2.3825,4.7967616e-15
-2.44,5.5975562e-15,-2.433,4.7921579e-15,-2.426,4.3799216e-15,-2.419,5.5775637e-15,-2.412,5.5801809e-15,-2.405,5.2200653e-15,-2.398,3.9388418e-15,-2.391,6.0539485e-15,-2.384,7.2455424e-15,-2.377,4.3845351e-15,-2.37,8.0857174e-15,-2.363,6.0226139e-15,-2.356,4.7727069e-15,-2.349,7.246234e-15,-2.342,8.0929251e-15,-2.335,8.0945969e-15
-2.4,5.6059182e-15,-2.3925,7.2432708e-15,-2.385,6.3929546e-15,-2.3775,8.0929119e-15,-2.37,5.6131702e-15,-2.3625,6.055291e-15,-2.355,6.8700246e-15,-2.3475,7.2465834e-15,-2.34,7.2347308e-15,-2.3325,4.7941311e-15,-2.325,5.2043043e-15,-2.3175,5.2075687e-15,-2.31,7.2436036e-15,-2.3025,7.2455768e-15,-2.295,8.0925693e-15,-2.2875,8.0955703e-15
-2.36,4.8040037e-15,-2.352,6.0569216e-15,-2.344,7.2478647e-15,-2.336,4.8082928e-15,-2.328,7.2534829e-15,-2.32,5.6292476e-15,-2.312,4.8023666e-15,-2.304,7.260348e-15,-2.296,7.2475088e-15,-2.288,8.0955703e-15,-2.28,7.2524831e-15,-2.272,7.2775474e-15,-2.264,7.2571147e-15,-2.256,8.0966113e-15,-2.248,7.2544695e-15,-2.24,5.6289461e-15
