drain TotalCurrent(IdVg_VdLin_n5_des) X,drain TotalCurrent(IdVg_VdLin_n5_des) Y,drain TotalCurrent(IdVg_VdLin_n17_des) X,drain TotalCurrent(IdVg_VdLin_n17_des) Y,drain TotalCurrent(IdVg_VdLin_n21_des) X,drain TotalCurrent(IdVg_VdLin_n21_des) Y,drain TotalCurrent(IdVg_VdLin_n25_des) X,drain TotalCurrent(IdVg_VdLin_n25_des) Y,drain TotalCurrent(IdVg_VdLin_n29_des) X,drain TotalCurrent(IdVg_VdLin_n29_des) Y,drain TotalCurrent(IdVg_VdLin_n35_des) X,drain TotalCurrent(IdVg_VdLin_n35_des) Y,drain TotalCurrent(IdVg_VdLin_n36_des) X,drain TotalCurrent(IdVg_VdLin_n36_des) Y,drain TotalCurrent(IdVg_VdLin_n37_des) X,drain TotalCurrent(IdVg_VdLin_n37_des) Y,drain TotalCurrent(IdVg_VdLin_n38_des) X,drain TotalCurrent(IdVg_VdLin_n38_des) Y,drain TotalCurrent(IdVg_VdLin_n39_des) X,drain TotalCurrent(IdVg_VdLin_n39_des) Y,drain TotalCurrent(IdVg_VdLin_n76_des) X,drain TotalCurrent(IdVg_VdLin_n76_des) Y,drain TotalCurrent(IdVg_VdLin_n77_des) X,drain TotalCurrent(IdVg_VdLin_n77_des) Y,drain TotalCurrent(IdVg_VdLin_n78_des) X,drain TotalCurrent(IdVg_VdLin_n78_des) Y,drain TotalCurrent(IdVg_VdLin_n79_des) X,drain TotalCurrent(IdVg_VdLin_n79_des) Y,drain TotalCurrent(IdVg_VdLin_n80_des) X,drain TotalCurrent(IdVg_VdLin_n80_des) Y,drain TotalCurrent(IdVg_VdLin_n83_des) X,drain TotalCurrent(IdVg_VdLin_n83_des) Y,drain TotalCurrent(IdVg_VdLin_n84_des) X,drain TotalCurrent(IdVg_VdLin_n84_des) Y,drain TotalCurrent(IdVg_VdLin_n85_des) X,drain TotalCurrent(IdVg_VdLin_n85_des) Y,drain TotalCurrent(IdVg_VdLin_n86_des) X,drain TotalCurrent(IdVg_VdLin_n86_des) Y,drain TotalCurrent(IdVg_VdLin_n87_des) X,drain TotalCurrent(IdVg_VdLin_n87_des) Y
-1,3.6651692e-14,-1.5,2.3174363e-14,-2,1.4267046e-14,-2.5,1.1689087e-14,-3,1.1044198e-14,-1,3.6751165e-14,-1.5,2.3365922e-14,-2,1.4314577e-14,-2.5,1.251756e-14,-3,1.1473785e-14,-1,6.7736337e-14,-1.5,1.2040391e-14,-2,8.238588e-15,-2.5,8.1029015e-15,-3,6.3745331e-15,-1,6.6175856e-14,-1.5,1.0917582e-14,-2,8.3039387e-15,-2.5,7.3078055e-15,-3,4.248535e-15
-0.98,3.7355347e-14,-1.47,2.3270894e-14,-1.96,1.3838125e-14,-2.45,1.1640693e-14,-2.94,1.1484671e-14,-0.98,3.7765339e-14,-1.47,2.2715015e-14,-1.96,1.4736495e-14,-2.45,1.3218959e-14,-2.94,1.1923484e-14,-0.98,7.1731076e-14,-1.47,9.590203e-15,-1.96,6.6246437e-15,-2.45,8.104888e-15,-2.94,8.0803594e-15,-0.98,7.2375712e-14,-1.47,1.0937026e-14,-1.96,6.5989976e-15,-2.45,7.310332e-15,-2.94,6.0134104e-15
-0.96,3.9531658e-14,-1.44,2.335764e-14,-1.92,1.4791966e-14,-2.4,1.2165829e-14,-2.88,1.2916272e-14,-0.96,3.901384e-14,-1.44,2.324118e-14,-1.92,1.4799182e-14,-2.4,1.3215313e-14,-2.88,1.0647834e-14,-0.96,7.9292526e-14,-1.44,1.1233555e-14,-1.92,9.0370506e-15,-2.4,8.1022575e-15,-2.88,6.3942149e-15,-0.96,8.0328645e-14,-1.44,1.0947536e-14,-1.92,7.4505217e-15,-2.4,6.4478268e-15,-2.88,4.2400113e-15
-0.94,4.2626197e-14,-1.41,2.433065e-14,-1.88,1.4319583e-14,-2.35,1.3514072e-14,-2.82,1.1579464e-14,-0.94,4.3755298e-14,-1.41,2.4051225e-14,-1.88,1.4795859e-14,-2.35,1.2141999e-14,-2.82,1.199428e-14,-0.94,8.4648666e-14,-1.41,1.2479846e-14,-1.88,7.3963859e-15,-2.35,8.1157275e-15,-2.82,6.4077261e-15,-0.94,8.5243356e-14,-1.41,1.0981807e-14,-1.88,8.7134707e-15,-2.35,7.3203712e-15,-2.82,5.5838854e-15
-0.92,4.9162103e-14,-1.38,2.514246e-14,-1.84,1.5521282e-14,-2.3,1.3504687e-14,-2.76,1.1583256e-14,-0.92,4.8235356e-14,-1.38,2.4788559e-14,-1.84,1.4367984e-14,-2.3,1.1944773e-14,-2.76,1.1592458e-14,-0.92,9.0465993e-14,-1.38,1.2104685e-14,-1.84,7.4486431e-15,-2.3,8.1210164e-15,-2.76,6.3875736e-15,-0.92,9.108252e-14,-1.38,1.0995359e-14,-1.84,6.9991643e-15,-2.3,6.4652564e-15,-2.76,5.593409e-15
-0.9,5.5467743e-14,-1.35,2.5281323e-14,-1.8,1.4647661e-14,-2.25,1.3550203e-14,-2.7,1.2493416e-14,-0.9,5.5687156e-14,-1.35,2.4957733e-14,-1.8,1.4409168e-14,-2.25,1.2580145e-14,-2.7,1.2472414e-14,-0.9,9.6729095e-14,-1.35,1.1292888e-14,-1.8,7.019875e-15,-2.25,4.8498608e-15,-2.7,5.5626724e-15,-0.9,9.7373687e-14,-1.35,1.1872837e-14,-1.8,6.9838118e-15,-2.25,7.7311932e-15,-2.7,5.190535e-15
-0.88,6.5531078e-14,-1.32,2.6094772e-14,-1.76,1.400877e-14,-2.2,1.2229963e-14,-2.64,1.1594218e-14,-0.88,6.5587584e-14,-1.32,2.7020188e-14,-1.76,1.5551432e-14,-2.2,1.2634975e-14,-2.64,1.2247488e-14,-0.88,1.0250416e-13,-1.32,1.2994763e-14,-1.76,8.2805051e-15,-2.2,8.1124662e-15,-2.64,5.200954e-15,-0.88,1.0219277e-13,-1.32,1.1058201e-14,-1.76,6.9838942e-15,-2.2,6.4734919e-15,-2.64,5.5336275e-15
-0.86,7.8182117e-14,-1.29,2.6478144e-14,-1.72,1.448472e-14,-2.15,1.3587497e-14,-2.58,1.2127368e-14,-0.86,7.9385445e-14,-1.29,2.7374808e-14,-1.72,1.5385533e-14,-2.15,1.2679177e-14,-2.58,1.1824856e-14,-0.86,1.0744475e-13,-1.29,1.3020798e-14,-1.72,9.0687737e-15,-2.15,7.273688e-15,-2.58,5.5807872e-15,-0.86,1.0950446e-13,-1.29,1.1974079e-14,-1.72,9.6201956e-15,-2.15,6.4731773e-15,-2.58,6.4682699e-15
-0.84,9.1009369e-14,-1.26,2.8972472e-14,-1.68,1.5461702e-14,-2.1,1.3172999e-14,-2.52,1.1657438e-14,-0.84,9.2121135e-14,-1.26,2.8299406e-14,-1.68,1.5420098e-14,-2.1,1.3381803e-14,-2.52,1.2458489e-14,-0.84,1.1276981e-13,-1.26,1.2280081e-14,-1.68,9.0947403e-15,-2.1,7.2924748e-15,-2.52,6.4463403e-15,-0.84,1.1475277e-13,-1.26,1.2832671e-14,-1.68,9.6298015e-15,-2.1,8.5936112e-15,-2.52,6.4742028e-15
-0.82,1.0675018e-13,-1.23,2.9643028e-14,-1.64,1.5524888e-14,-2.05,1.2286693e-14,-2.46,1.1650078e-14,-0.82,1.0746482e-13,-1.23,2.8493695e-14,-1.64,1.5771966e-14,-2.05,1.2977415e-14,-2.46,1.2302883e-14,-0.82,1.198375e-13,-1.23,1.3942838e-14,-1.64,8.312803e-15,-2.05,8.1338424e-15,-2.46,5.1950411e-15,-0.82,1.1926182e-13,-1.23,1.2904601e-14,-1.64,8.7583888e-15,-2.05,7.361458e-15,-2.46,6.4411396e-15
